Year-Month,start_date,end_date,AOV,number_of_orders,Swiggy Marketing %,Swiggy Total commission%,Loocos Recieved%,Loocos Amount,Marketing Charges,payout_date,Source File
2025-06,2025-06-22 12:21:00,2025-06-30 21:59:13,342.0,41,4.8%,33.24%,66.76%,14023.0,990.0,2025-07-05,invoice Annexure_708466_05072025_1751693717366.xlsx
2025-06,2025-06-15 13:09:21,2025-06-21 19:32:47,385.0,32,2.9%,28.58%,71.42%,12330.0,496.0,2025-06-25,invoice Annexure_708466_25062025_1750860524008.xlsx
2025-06,2025-06-08 15:33:12,2025-06-14 21:49:33,393.0,29,2.3%,28.8%,71.2%,11401.0,365.0,2025-06-18,invoice Annexure_708466_18062025_1750240993036.xlsx
2025-06,2025-06-01 18:30:29,2025-06-07 20:27:18,299.0,21,12.3%,40.77%,59.23%,6271.0,1219.0,2025-06-11,invoice Annexure_708466_11062025_1749651621472.xlsx
2025-05,2025-05-25 12:31:14,2025-05-31 20:34:21,349.0,43,4.0%,30.05%,69.95%,15019.0,841.0,2025-06-04,invoice Annexure_708466_04062025_1749046608166.xlsx
2025-05,2025-05-18 11:15:20,2025-05-24 21:57:01,350.0,40,4.8%,30.86%,69.14%,14008.0,971.0,2025-05-28,invoice Annexure_708466_28052025_1748438123345.xlsx
2025-05,2025-05-11 12:51:29,2025-05-17 20:50:32,351.0,32,4.8%,30.58%,66.3%,11236.0,795.0,2025-05-21,invoice Annexure_708466_21052025_1747829848234.xlsx
2025-05,2025-05-04 14:00:14,2025-05-10 20:12:15,315.0,36,5.0%,31.72%,68.28%,11342.0,820.0,2025-05-14,invoice Annexure_708466_14052025_1747220309745.xlsx
2025-05,2025-05-01 12:10:46,2025-05-03 20:15:39,329.0,23,0.9%,27.25%,72.75%,7565.0,95.0,2025-05-07,invoice Annexure_708466_07052025_1746618616858.xlsx
2025-04,2025-04-27 13:58:04,2025-04-30 21:09:35,294.0,22,1.5%,27.48%,72.52%,6465.0,134.0,2025-05-05,invoice Annexure_708466_05052025_1746446930119.xlsx
2025-04,2025-04-20 11:52:06,2025-04-26 21:35:25,334.0,44,2.9%,29.86%,70.14%,14680.0,601.0,2025-04-30,invoice Annexure_708466_30042025_1746010912013.xlsx
2025-04,2025-04-13 11:22:05,2025-04-19 19:20:11,358.0,33,4.0%,31.56%,68.44%,11825.0,688.0,2025-04-23,invoice Annexure_708466_23042025_1745400606564.xlsx
2025-04,2025-04-06 12:07:24,2025-04-12 20:17:21,352.0,37,2.2%,31.18%,68.82%,13042.0,420.0,2025-04-16,invoice Annexure_708466_16042025_1744751189392.xlsx
2025-04,2025-04-01 17:12:00,2025-04-05 20:41:27,304.0,26,5.4%,30.29%,65.86%,7898.0,614.0,2025-04-09,invoice Annexure_708466_09042025_1744186942965.xlsx
