Month_code,Category,expense_amount,Total Sales[POS Sales less GST + Swiggy to Loocos],expense_amount%
2026-02,FOOD RAW MATERIAL PURCHASE,28109,294447.0,9.55
2026-02,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),18644,294447.0,6.33
2026-02,GAS & FUEL,18590,294447.0,6.31
2026-02,"LICENSE, TAX & GOVERNMENT FEES",3200,294447.0,1.09
2026-02,PACKAGING & DISPOSABLES,2700,294447.0,0.92
2026-02,SALARIES (MONTHLY PAYMENTS),5700,294447.0,0.57
2026-02,ADVERTISEMENT & MARKETING,500,294447.0,0.17
2026-02,STAFF WELFARE & BENEFITS,500,294447.0,0.17
2026-02,UNMAPPED,500,294447.0,0.17
2026-02,MAINTENANCE – SHOP & EQUIPMENT,450,294447.0,0.15
2026-01,SALARIES (MONTHLY PAYMENTS),129330,464506.6,12.93
2026-01,FOOD RAW MATERIAL PURCHASE,49134,464506.6,10.58
2026-01,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),23663,464506.6,5.09
2026-01,GAS & FUEL,20460,464506.6,4.4
2026-01,UNMAPPED,8106,464506.6,1.75
2026-01,MAINTENANCE – SHOP & EQUIPMENT,2800,464506.6,0.6
2026-01,RENT & UTILITIES,1091,464506.6,0.23
2026-01,ADVERTISEMENT & MARKETING,1000,464506.6,0.22
2026-01,MISCELLANEOUS / OTHER,750,464506.6,0.16
2026-01,TRANSPORTATION & AUTO CHARGES,600,464506.6,0.13
2026-01,STAFF WELFARE & BENEFITS,500,464506.6,0.11
2026-01,PACKAGING & DISPOSABLES,450,464506.6,0.1
2026-01,OFFICE & ADMINISTRATION,200,464506.6,0.04
2026-01,CLEANING & WASTE,100,464506.6,0.02
2025-12,SALARIES (MONTHLY PAYMENTS),133037,494089.55,13.3
2025-12,FOOD RAW MATERIAL PURCHASE,55481,494089.55,11.23
2025-12,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),28286,494089.55,5.72
2025-12,GAS & FUEL,22410,494089.55,4.54
2025-12,STAFF WELFARE & BENEFITS,2295,494089.55,0.46
2025-12,ADVERTISEMENT & MARKETING,1000,494089.55,0.2
2025-12,CLEANING & WASTE,100,494089.55,0.02
2025-11,SALARIES (MONTHLY PAYMENTS),124006,454730.6,12.4
2025-11,FOOD RAW MATERIAL PURCHASE,41992,454730.6,9.23
2025-11,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),26638,454730.6,5.86
2025-11,GAS & FUEL,21440,454730.6,4.71
2025-11,STAFF WELFARE & BENEFITS,5358,454730.6,1.18
2025-11,MAINTENANCE – SHOP & EQUIPMENT,3500,454730.6,0.77
2025-11,BIKE EXPENSES (ALL VEHICLE RELATED),2943,454730.6,0.65
2025-11,DECORATION & EVENTS,2200,454730.6,0.48
2025-11,RENT & UTILITIES,1837,454730.6,0.4
2025-11,UNMAPPED,1500,454730.6,0.33
2025-11,ADVERTISEMENT & MARKETING,1000,454730.6,0.22
2025-11,TRANSPORTATION & AUTO CHARGES,600,454730.6,0.13
2025-11,CLEANING & WASTE,500,454730.6,0.11
2025-11,"LICENSE, TAX & GOVERNMENT FEES",400,454730.6,0.09
2025-10,SALARIES (MONTHLY PAYMENTS),123420,455473.55,12.34
2025-10,FOOD RAW MATERIAL PURCHASE,31938,455473.55,7.01
2025-10,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),28746,455473.55,6.31
2025-10,GAS & FUEL,21620,455473.55,4.75
2025-10,UNMAPPED,7119,455473.55,1.56
2025-10,STAFF WELFARE & BENEFITS,3500,455473.55,0.77
2025-10,ADVERTISEMENT & MARKETING,2599,455473.55,0.57
2025-10,MAINTENANCE – SHOP & EQUIPMENT,2109,455473.55,0.46
2025-10,BIKE EXPENSES (ALL VEHICLE RELATED),1463,455473.55,0.32
2025-10,CLEANING & WASTE,650,455473.55,0.14
2025-09,SALARIES (MONTHLY PAYMENTS),111560,480840.35,11.16
2025-09,FOOD RAW MATERIAL PURCHASE,36611,480840.35,7.61
2025-09,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),29323,480840.35,6.1
2025-09,GAS & FUEL,23050,480840.35,4.79
2025-09,BIKE EXPENSES (ALL VEHICLE RELATED),9400,480840.35,1.95
2025-09,ADVERTISEMENT & MARKETING,3000,480840.35,0.62
2025-09,UNMAPPED,2300,480840.35,0.48
2025-09,MAINTENANCE – SHOP & EQUIPMENT,2217,480840.35,0.46
2025-09,RENT & UTILITIES,1733,480840.35,0.36
2025-09,CLEANING & WASTE,700,480840.35,0.15
2025-09,OFFICE & ADMINISTRATION,650,480840.35,0.14
2025-09,TRANSPORTATION & AUTO CHARGES,650,480840.35,0.14
2025-08,FOOD RAW MATERIAL PURCHASE,36995,507628.39999999997,7.29
2025-08,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),31534,507628.39999999997,6.21
2025-08,SALARIES (MONTHLY PAYMENTS),48610,507628.39999999997,4.86
2025-08,GAS & FUEL,21540,507628.39999999997,4.24
2025-08,PACKAGING & DISPOSABLES,2700,507628.39999999997,0.53
2025-08,ADVERTISEMENT & MARKETING,2625,507628.39999999997,0.52
2025-08,RENT & UTILITIES,2249,507628.39999999997,0.44
2025-08,BIKE EXPENSES (ALL VEHICLE RELATED),1640,507628.39999999997,0.32
2025-08,MAINTENANCE – SHOP & EQUIPMENT,1050,507628.39999999997,0.21
2025-08,STAFF WELFARE & BENEFITS,800,507628.39999999997,0.16
2025-08,CLEANING & WASTE,600,507628.39999999997,0.12
2025-08,UNMAPPED,200,507628.39999999997,0.04
2025-07,SALARIES (MONTHLY PAYMENTS),111284,470467.1,11.13
2025-07,FOOD RAW MATERIAL PURCHASE,37478,470467.1,7.97
2025-07,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),30449,470467.1,6.47
2025-07,GAS & FUEL,20180,470467.1,4.29
2025-07,ADVERTISEMENT & MARKETING,5250,470467.1,1.12
2025-07,MAINTENANCE – SHOP & EQUIPMENT,5270,470467.1,1.12
2025-07,RENT & UTILITIES,1806,470467.1,0.38
2025-07,BIKE EXPENSES (ALL VEHICLE RELATED),1292,470467.1,0.27
2025-07,UNMAPPED,1088,470467.1,0.23
2025-07,STAFF WELFARE & BENEFITS,1020,470467.1,0.22
2025-07,CLEANING & WASTE,650,470467.1,0.14
2025-07,TRANSPORTATION & AUTO CHARGES,550,470467.1,0.12
2025-06,SALARIES (MONTHLY PAYMENTS),112410,403429.0,11.24
2025-06,FOOD RAW MATERIAL PURCHASE,33554,403429.0,8.32
2025-06,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),25321,403429.0,6.28
2025-06,GAS & FUEL,21360,403429.0,5.29
2025-06,MAINTENANCE – SHOP & EQUIPMENT,16700,403429.0,4.14
2025-06,PARTNER & CAPITAL TRANSACTIONS,5000,403429.0,1.24
2025-06,UNMAPPED,2876,403429.0,0.71
2025-06,BIKE EXPENSES (ALL VEHICLE RELATED),1270,403429.0,0.31
2025-06,CLEANING & WASTE,550,403429.0,0.14
2025-06,MISCELLANEOUS / OTHER,370,403429.0,0.09
2025-06,ADVERTISEMENT & MARKETING,300,403429.0,0.07
2025-05,SALARIES (MONTHLY PAYMENTS),146204,517650.44999999995,14.62
2025-05,FOOD RAW MATERIAL PURCHASE,40268,517650.44999999995,7.78
2025-05,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),27338,517650.44999999995,5.28
2025-05,GAS & FUEL,25500,517650.44999999995,4.93
2025-05,UNMAPPED,12132,517650.44999999995,2.34
2025-05,MAINTENANCE – SHOP & EQUIPMENT,8300,517650.44999999995,1.6
2025-05,RENT & UTILITIES,5423,517650.44999999995,1.05
2025-05,PACKAGING & DISPOSABLES,3700,517650.44999999995,0.71
2025-05,BIKE EXPENSES (ALL VEHICLE RELATED),3236,517650.44999999995,0.63
2025-05,OFFICE & ADMINISTRATION,2300,517650.44999999995,0.44
2025-05,TRANSPORTATION & AUTO CHARGES,650,517650.44999999995,0.13
2025-05,CLEANING & WASTE,600,517650.44999999995,0.12
2025-05,"LICENSE, TAX & GOVERNMENT FEES",600,517650.44999999995,0.12
2025-05,STAFF WELFARE & BENEFITS,600,517650.44999999995,0.12
2025-04,SALARIES (MONTHLY PAYMENTS),120397,523213.8,12.04
2025-04,FOOD RAW MATERIAL PURCHASE,42138,523213.8,8.05
2025-04,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),30953,523213.8,5.92
2025-04,GAS & FUEL,22630,523213.8,4.33
2025-04,ADVERTISEMENT & MARKETING,5400,523213.8,1.03
2025-04,RENT & UTILITIES,3600,523213.8,0.69
2025-04,TRANSPORTATION & AUTO CHARGES,1380,523213.8,0.26
2025-04,CLEANING & WASTE,650,523213.8,0.12
2025-04,UNMAPPED,250,523213.8,0.05
2025-04,MAINTENANCE – SHOP & EQUIPMENT,100,523213.8,0.02
2025-03,SALARIES (MONTHLY PAYMENTS),130860,358957.6,13.09
2025-03,FOOD RAW MATERIAL PURCHASE,30918,358957.6,8.61
2025-03,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),25288,358957.6,7.04
2025-03,GAS & FUEL,22122,358957.6,6.16
2025-03,RENT & UTILITIES,5222,358957.6,1.45
2025-03,MISCELLANEOUS / OTHER,2500,358957.6,0.7
2025-03,BIKE EXPENSES (ALL VEHICLE RELATED),1880,358957.6,0.52
2025-03,STAFF WELFARE & BENEFITS,1470,358957.6,0.41
2025-03,UNMAPPED,1450,358957.6,0.4
2025-03,MAINTENANCE – SHOP & EQUIPMENT,1200,358957.6,0.33
2025-03,CLEANING & WASTE,700,358957.6,0.2
2025-03,ADVERTISEMENT & MARKETING,300,358957.6,0.08
2025-02,SALARIES (MONTHLY PAYMENTS),108790,383291.2,10.88
2025-02,FOOD RAW MATERIAL PURCHASE,32358,383291.2,8.44
2025-02,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),26747,383291.2,6.98
2025-02,GAS & FUEL,24566,383291.2,6.41
2025-02,RENT & UTILITIES,10100,383291.2,2.64
2025-02,PARTNER & CAPITAL TRANSACTIONS,3000,383291.2,0.78
2025-02,PACKAGING & DISPOSABLES,2500,383291.2,0.65
2025-02,MAINTENANCE – SHOP & EQUIPMENT,1820,383291.2,0.47
2025-02,ADVERTISEMENT & MARKETING,1720,383291.2,0.45
2025-02,"LICENSE, TAX & GOVERNMENT FEES",1575,383291.2,0.41
2025-02,CLEANING & WASTE,700,383291.2,0.18
2025-02,TRANSPORTATION & AUTO CHARGES,610,383291.2,0.16
2025-02,STAFF WELFARE & BENEFITS,510,383291.2,0.13
2025-02,DECORATION & EVENTS,250,383291.2,0.07
2025-02,OFFICE & ADMINISTRATION,120,383291.2,0.03
2025-01,SALARIES (MONTHLY PAYMENTS),118253,438268.3,11.83
2025-01,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),41462,438268.3,9.46
2025-01,FOOD RAW MATERIAL PURCHASE,28853,438268.3,6.58
2025-01,GAS & FUEL,26224,438268.3,5.98
2025-01,RENT & UTILITIES,5720,438268.3,1.31
2025-01,UNMAPPED,1782,438268.3,0.41
2025-01,BIKE EXPENSES (ALL VEHICLE RELATED),1700,438268.3,0.39
2025-01,MAINTENANCE – SHOP & EQUIPMENT,1730,438268.3,0.39
2025-01,ADVERTISEMENT & MARKETING,870,438268.3,0.2
2025-01,CLEANING & WASTE,750,438268.3,0.17
2025-01,TRANSPORTATION & AUTO CHARGES,60,438268.3,0.01
2024-12,SALARIES (MONTHLY PAYMENTS),128660,537780.95,12.87
2024-12,FOOD RAW MATERIAL PURCHASE,44560,537780.95,8.29
2024-12,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),31470,537780.95,5.85
2024-12,GAS & FUEL,27190,537780.95,5.06
2024-12,RENT & UTILITIES,3600,537780.95,0.67
2024-12,BIKE EXPENSES (ALL VEHICLE RELATED),1700,537780.95,0.32
2024-12,ADVERTISEMENT & MARKETING,1500,537780.95,0.28
2024-12,STAFF WELFARE & BENEFITS,1360,537780.95,0.25
2024-12,MAINTENANCE – SHOP & EQUIPMENT,1100,537780.95,0.2
2024-12,UNMAPPED,1088,537780.95,0.2
2024-12,CLEANING & WASTE,650,537780.95,0.12
2024-12,TRANSPORTATION & AUTO CHARGES,640,537780.95,0.12
2024-12,PACKAGING & DISPOSABLES,50,537780.95,0.01
2024-11,SALARIES (MONTHLY PAYMENTS),121007,483662.0,12.1
2024-11,FOOD RAW MATERIAL PURCHASE,43722,483662.0,9.04
2024-11,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),34580,483662.0,7.15
2024-11,GAS & FUEL,25620,483662.0,5.3
2024-11,MAINTENANCE – SHOP & EQUIPMENT,6678,483662.0,1.38
2024-11,RENT & UTILITIES,5266,483662.0,1.09
2024-11,UNMAPPED,3865,483662.0,0.8
2024-11,STAFF WELFARE & BENEFITS,3776,483662.0,0.78
2024-11,ADVERTISEMENT & MARKETING,2785,483662.0,0.58
2024-11,DECORATION & EVENTS,2200,483662.0,0.45
2024-11,TRANSPORTATION & AUTO CHARGES,1500,483662.0,0.31
2024-11,"LICENSE, TAX & GOVERNMENT FEES",1000,483662.0,0.21
2024-11,BIKE EXPENSES (ALL VEHICLE RELATED),530,483662.0,0.11
2024-11,CLEANING & WASTE,550,483662.0,0.11
2024-11,PACKAGING & DISPOSABLES,339,483662.0,0.07
2024-11,OFFICE & ADMINISTRATION,250,483662.0,0.05
2024-10,SALARIES (MONTHLY PAYMENTS),121827,482997.1,12.18
2024-10,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),44510,482997.1,9.22
2024-10,FOOD RAW MATERIAL PURCHASE,37407,482997.1,7.74
2024-10,GAS & FUEL,25900,482997.1,5.36
2024-10,RENT & UTILITIES,6750,482997.1,1.4
2024-10,BIKE EXPENSES (ALL VEHICLE RELATED),4936,482997.1,1.02
2024-10,STAFF WELFARE & BENEFITS,3500,482997.1,0.72
2024-10,UNMAPPED,2588,482997.1,0.54
2024-10,ADVERTISEMENT & MARKETING,2049,482997.1,0.42
2024-10,PACKAGING & DISPOSABLES,1200,482997.1,0.25
2024-10,MAINTENANCE – SHOP & EQUIPMENT,1050,482997.1,0.22
2024-10,TRANSPORTATION & AUTO CHARGES,840,482997.1,0.17
2024-10,CLEANING & WASTE,650,482997.1,0.13
2024-10,DECORATION & EVENTS,450,482997.1,0.09
2024-10,GENERATOR EXPENSES,400,482997.1,0.08
2024-10,MISCELLANEOUS / OTHER,294,482997.1,0.06
2024-09,SALARIES (MONTHLY PAYMENTS),121077,441945.6,12.11
2024-09,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),35534,441945.6,8.04
2024-09,FOOD RAW MATERIAL PURCHASE,33992,441945.6,7.69
2024-09,GAS & FUEL,16340,441945.6,3.7
2024-09,RENT & UTILITIES,4635,441945.6,1.05
2024-09,MAINTENANCE – SHOP & EQUIPMENT,2550,441945.6,0.58
2024-09,MISCELLANEOUS / OTHER,2304,441945.6,0.52
2024-09,BIKE EXPENSES (ALL VEHICLE RELATED),830,441945.6,0.19
2024-09,ADVERTISEMENT & MARKETING,699,441945.6,0.16
2024-09,CLEANING & WASTE,600,441945.6,0.14
2024-09,TRANSPORTATION & AUTO CHARGES,550,441945.6,0.12
2024-09,UNMAPPED,530,441945.6,0.12
2024-08,SALARIES (MONTHLY PAYMENTS),121017,498293.25,12.1
2024-08,FOOD RAW MATERIAL PURCHASE,37556,498293.25,7.54
