Vendor_Name,Item_Name,UOM,Unit_Price,Date
Koonathil Traders,M Thuvara,Kg,125.0,2022-10-17
Koonathil Traders,G.Crown Mushroom Slice 800g,Nos,93.0,2022-10-17
Koonathil Traders,Atta Loose,Kg,40.0,2022-10-17
Koonathil Traders,DVC MOJITO MINT 750ML,Nos,437.0,2022-10-17
Koonathil Traders,"Mix Veg, pickle-250g-tholur",Nos,39.99,2022-10-17
Koonathil Traders,Oregano Sprinkler 500g,Nos,290.0,2022-10-17
Koonathil Traders,Milkymist Cheese BLock 1KG,Nos,520.0,2022-10-17
Koonathil Traders,GO-Monterey Jack Cheese-2kg,Nos,1220.01,2022-10-17
Koonathil Traders,GO Orange Cheddar Cheese 2kg,Nos,1133.0,2022-10-17
Koonathil Traders,Zippy  B.Fast Sausage ,Nos,345.01,2022-10-17
Koonathil Traders,Zippy Chicken Salami,Nos,354.0,2022-10-17
Koonathil Traders,French Fries 6mm-ITC,Nos,350.0,2022-10-17
Faisal Pattambi,Bornless Chicken- pattambi,Kg,215.0,2022-10-01
Faisal Pattambi,Bornless Chicken- pattambi,Kg,228.0,2022-10-05
Faisal Pattambi,Bornless Chicken- pattambi,Kg,258.18,2022-10-23
Faisal Pattambi,Bornless Chicken- pattambi,Kg,260.0,2022-10-29
MBS Traders,Exo Steel Wool,Nos,11.5,2022-10-01
MBS Traders,Exo Dishwash cake,Nos,4.49,2022-10-01
MBS Traders,Palm Oil - Refined Oil,Pkt,89.5,2022-10-01
MBS Traders,AVT Premium Tea,Pkt,28.25,2022-10-01
Local Purchase,Atta Loose,Kg,37.0,2022-10-01
Local Purchase,Eveready Battery Small,Nos,18.0,2022-10-01
Local Purchase-Petrol,Petrol,Ltr,106.97,2022-10-01
MBS Traders,tissue,Pkt,9.0,2022-10-01
KTP Vegitables,Capcicum-Veg,Kg,88.0,2022-10-01
KTP Vegitables,Green Chilly-Veg,Kg,60.0,2022-10-01
KTP Vegitables,Bitter Guard-Veg,Kg,48.0,2022-10-01
City Mart Supermarket,Milk-Elanad-500ml,Nos,25.0,2022-10-02
Local Purchase-Petrol,Petrol-Nayara,Ltr,106.97,2022-10-02
Local Purchase,Jar Caplar,Nos,80.0,2022-10-03
City Mart Supermarket,Salt Powder,Nos,13.0,2022-10-03
KTP Vegitables,Capcicum-Veg,Kg,90.0,2022-10-03
KTP Vegitables,Okra-Veg,Kg,40.0,2022-10-03
Local Purchase,Mint-Veg,Kg,100.0,2022-10-04
Local Purchase,Pooja Items,Pkt,294.0,2022-10-04
Local Purchase-Petrol,Petrol-HPCL,Ltr,106.77,2022-10-04
Mehru Stores,Palm Oil - Refined Oil,Pkt,89.5,2022-10-04
City Mart Supermarket,Milk-Elanad-500ml,Pkt,26.0,2022-10-04
KTP Vegitables,Tomato-Veg,Kg,37.0,2022-10-04
KTP Vegitables,Capcicum-Veg,Kg,85.0,2022-10-04
KTP Vegitables,Carrot-Veg,Kg,60.0,2022-10-04
KTP Vegitables,Pineapple-Veg,Kg,80.0,2022-10-04
KTP Vegitables,Lemon-Veg,Kg,88.0,2022-10-05
KTP Vegitables,Mint-Veg,Kg,40.0,2022-10-05
KTP Vegitables,Cauli Flower-veg,Kg,54.55,2022-10-05
Local Purchase,Chicken-Whole-Staff,Kg,118.1,2022-10-05
Local Purchase,M Thuvara,Kg,118.98,2022-10-05
Local Purchase,Atta Loose,Kg,38.33,2022-10-05
Local Purchase-Petrol,Petrol-Nayara,Ltr,107.77,2022-10-05
Local Purchase-Petrol,petrol,Ltr,106.97,2022-10-05
Isha Fresh Vegitables (Hisham),parsely,Kg,200.0,2022-10-06
Isha Fresh Vegitables (Hisham),Ice Berg,Kg,160.0,2022-10-06
City Mart Supermarket,Sugar-Loose,Kg,40.0,2022-10-06
KTP Vegitables,Tomato-Veg,Kg,42.0,2022-10-06
KTP Vegitables,Cucumber-veg,Kg,38.0,2022-10-06
KTP Vegitables,pappaya-veg,Kg,15.0,2022-10-06
MBS Traders,Tissue,Pkt,9.0,2022-10-07
KTP Vegitables,Tomato-Veg,Kg,35.0,2022-10-07
KTP Vegitables,cabbage-veg,Kg,28.57,2022-10-07
Mansoor Traders Pattambi,Tissue,Pkt,8.0,2022-10-08
Mansoor Traders Pattambi,Wooden Spoon-160mm,Pkt,98.0,2022-10-08
Mansoor Traders Pattambi,Wooden Spoon-110mm,Pkt,78.0,2022-10-08
Local Purchase-Petrol,Petrol-HPCL,Ltr,106.72,2022-10-09
KTP Vegitables,Tomato,Kg,42.0,2022-10-09
City Mart Supermarket,Egg,Nos,5.2,2022-10-10
MBS Traders,Cherry,Kg,250.0,2022-10-10
MBS Traders,Exo Dishwash cake,Nos,4.8,2022-10-10
MBS Traders,Palm Oil,Pkt,98.0,2022-10-10
KTP Vegitables,Pineapple-Veg,Kg,70.27,2022-10-11
Babu Palakkad,Paneer,Kg,250.0,2022-10-11
City Mart Supermarket,egg,Nos,5.3,2022-10-11
Local Purchase,Chicken-Staff,Kg,126.0,2022-10-12
City Mart Supermarket,Chicken Masala-Eastern,Pkt,45.0,2022-10-12
MBS Traders,Agarbathi,Pkt,41.0,2022-10-12
MBS Traders,Palm Oil,Pkt,102.0,2022-10-12
MBS Traders,colour,Tin,60.0,2022-10-14
MBS Traders,Celotape-3/4inch-,Nos,23.0,2022-10-15
Local Purchase-Petrol,Petrol-IOCL,Ltr,106.64,2022-10-15
Isha Fresh Vegitables (Hisham),Red Yellow Capcicum,Kg,180.0,2022-10-16
KTP Vegitables,Lemon-Veg,Kg,70.0,2022-10-16
Local Purchase-Petrol,Petrol-Nayara,Ltr,106.75,2022-10-17
KTP Vegitables,cabbage-veg,Kg,27.5,2022-10-17
City Mart Supermarket,Rava,Kg,52.0,2022-10-17
City Mart Supermarket,Palm Oil,Pkt,100.0,2022-10-17
City Mart Supermarket,Ponni Rice,Kg,42.0,2022-10-18
Local Purchase,Chicken-Staff,Kg,126.67,2022-10-19
City Mart Supermarket,Salt Powder,Pkt,13.0,2022-10-19
City Mart Supermarket,egg,Nos,5.0,2022-10-20
City Mart Supermarket,Turmeric Powder-eastern,Pkt,22.0,2022-10-20
Royal Hypermarket-Ottapalam,Parsely-Veg,Pkt,38.0,2022-10-20
KTP Vegitables,Chembu-veg,Kg,54.0,2022-10-20
KTP Vegitables,Potato-Veg,Kg,42.0,2022-10-20
City Mart Supermarket,LED Bulb-Sturlite-10watt,Nos,110.0,2022-10-21
KTP Vegitables,onion,Kg,30.0,2022-10-21
KTP Vegitables,Bitter Guard-Veg,Kg,42.86,2022-10-21
City Mart Supermarket,Egg,Nos,5.0,2022-10-22
MBS Traders,Palm Oil,Pkt,105.0,2022-10-22
MBS Traders,Tissue,Pkt,12.0,2022-10-22
Local Purchase,Rain Coat,Nos,650.0,2022-10-23
KTP Vegitables,cabbage-veg,Kg,27.0,2022-10-23
KTP Vegitables,Cheera-veg,Kg,20.0,2022-10-23
Local Purchase,Pooja Items,Nos,93.75,2022-10-24
KTP Vegitables,lemon,Kg,60.0,2022-10-25
KTP Vegitables,Bitter Guard-Veg,Kg,60.0,2022-10-25
Local Purchase,Ice-cube,Pkt,30.0,2022-10-26
City Mart Supermarket,Egg,Nos,5.5,2022-10-26
City Mart Supermarket,Tandoori Chicken Masala-Bakers,Pkt,75.0,2022-10-26
Local Purchase,Cotton-cloth,Nos,70.0,2022-10-26
Local Purchase,Chicken-Staff,Kg,122.93,2022-10-26
Local Purchase,Duster,Nos,75.0,2022-10-26
Mehru Stores,Palm Oil,Pkt,103.0,2022-10-26
City Mart Supermarket,Egg,Nos,1.2,2022-10-27
