Date,UPI-Statement,UPI-Cashbook,UPI - Match?,CARD-Statement,CARD-Cashbook,Card - Match?
2025-11-20,8658.0,8658.0,,429.0,429.0,
2025-11-19,36183.0,36183.0,,1478.0,1478.0,
2025-11-18,6064.0,6064.0,,0.0,0.0,
2025-11-17,9426.0,9426.0,,0.0,0.0,
2025-11-16,14689.0,14689.0,,0.0,0.0,
2025-11-15,8096.0,8096.0,,346.0,346.0,
2025-11-14,5968.0,5968.0,,707.0,707.0,
2025-11-13,10760.0,10760.0,,0.0,0.0,
2025-11-12,8040.0,8040.0,,0.0,0.0,
2025-11-11,11273.0,11273.0,,0.0,0.0,
2025-11-10,4499.0,4499.0,,0.0,0.0,
2025-11-09,9843.0,9843.0,,1845.0,1845.0,
2025-11-08,12789.0,12789.0,,0.0,0.0,
2025-11-07,6956.0,6956.0,,0.0,0.0,
2025-11-06,5830.0,5830.0,,0.0,0.0,
2025-11-05,4756.0,4756.0,,0.0,0.0,
2025-11-04,5682.0,5682.0,,719.0,719.0,
2025-11-03,9600.0,9600.0,,0.0,0.0,
2025-11-02,11637.0,11637.0,,1562.0,1562.0,
2025-11-01,7122.0,7122.0,,1528.0,1528.0,
2025-10-31,7533.0,7533.0,,314.0,314.0,
2025-10-30,12001.0,12001.0,,0.0,1137.0,Cashbook has greater value by 1137.0
2025-10-29,10217.0,10217.0,,0.0,0.0,
2025-10-28,8165.0,8165.0,,0.0,1245.0,Cashbook has greater value by 1245.0
2025-10-27,7146.0,7146.0,,0.0,0.0,
2025-10-26,8695.0,8695.0,,0.0,2774.0,Cashbook has greater value by 2774.0
2025-10-25,12463.0,12463.0,,0.0,2467.0,Cashbook has greater value by 2467.0
2025-10-24,10637.0,10637.0,,0.0,1121.0,Cashbook has greater value by 1121.0
2025-10-23,7945.0,7945.0,,0.0,198.0,Cashbook has greater value by 198.0
2025-10-22,12117.0,12117.0,,0.0,0.0,
2025-10-21,13140.0,13140.0,,0.0,0.0,
2025-10-20,7241.0,7241.0,,0.0,1652.0,Cashbook has greater value by 1652.0
2025-10-19,4789.0,4789.0,,0.0,5644.0,Cashbook has greater value by 5644.0
2025-10-18,10633.0,10633.0,,0.0,0.0,
2025-10-17,7805.0,7805.0,,0.0,406.0,Cashbook has greater value by 406.0
2025-10-16,6654.0,6654.0,,0.0,0.0,
2025-10-15,9628.0,9628.0,,0.0,0.0,
2025-10-14,8861.0,8861.0,,0.0,0.0,
2025-10-13,4819.0,4819.0,,0.0,0.0,
2025-10-12,9813.0,9813.0,,0.0,596.0,Cashbook has greater value by 596.0
2025-10-11,9071.0,9071.0,,0.0,0.0,
2025-10-10,6917.0,6917.0,,0.0,499.0,Cashbook has greater value by 499.0
2025-10-09,10583.0,10583.0,,0.0,0.0,
2025-10-08,8440.0,8440.0,,0.0,0.0,
2025-10-07,7000.0,7000.0,,0.0,0.0,
2025-10-06,6797.0,6797.0,,0.0,0.0,
2025-10-05,16807.0,16807.0,,0.0,774.0,Cashbook has greater value by 774.0
2025-10-04,11781.0,11781.0,,0.0,4727.0,Cashbook has greater value by 4727.0
2025-10-03,8026.0,8026.0,,0.0,0.0,
2025-10-02,10724.0,12223.0,Cashbook has greater value by 1499.0,0.0,1412.0,Cashbook has greater value by 1412.0
2025-10-01,11135.0,11135.0,,0.0,4900.0,Cashbook has greater value by 4900.0
2025-09-30,19392.0,19392.0,,923.0,923.0,
2025-09-29,7693.0,7693.0,,0.0,0.0,
2025-09-28,10183.0,10183.0,,989.0,989.0,
2025-09-27,9372.0,9372.0,,6237.0,6237.0,
2025-09-26,11211.0,11211.0,,0.0,0.0,
2025-09-25,7451.0,7451.0,,583.0,583.0,
2025-09-24,5655.0,5655.0,,1342.0,1342.0,
2025-09-23,6016.0,6016.0,,0.0,0.0,
2025-09-22,5026.0,5026.0,,519.0,519.0,
2025-09-21,8796.0,8796.0,,1510.0,1510.0,
2025-09-20,10086.0,10086.0,,1283.0,1283.0,
2025-09-19,12946.0,12946.0,,0.0,0.0,
2025-09-18,4116.0,4116.0,,0.0,0.0,
2025-09-17,2146.0,2146.0,,701.0,701.0,
2025-09-16,9164.0,9039.0,Cashbook has lesser value by 125.0,1932.0,1932.0,
2025-09-15,9172.0,9172.0,,0.0,0.0,
2025-09-14,14481.0,14481.0,,0.0,0.0,
2025-09-13,15740.0,15740.0,,0.0,0.0,
2025-09-12,3577.0,3577.0,,0.0,0.0,
2025-09-11,10812.0,10812.0,,0.0,0.0,
2025-09-10,10415.0,10415.0,,0.0,0.0,
2025-09-09,7244.0,7244.0,,1401.0,1401.0,
2025-09-08,7665.0,7665.0,,1773.0,1773.0,
2025-09-07,12267.0,12267.0,,457.0,457.0,
2025-09-06,23528.0,23528.0,,0.0,0.0,
2025-09-05,11481.0,11481.0,,2806.0,2806.0,
2025-09-04,10620.0,10620.0,,1228.0,1228.0,
2025-09-03,12511.0,12511.0,,3038.0,3038.0,
2025-09-02,11231.0,11231.0,,0.0,0.0,
2025-09-01,5544.0,5544.0,,0.0,0.0,
2025-08-31,14846.0,14846.0,,0.0,0.0,
2025-08-30,10434.0,10434.0,,0.0,0.0,
2025-08-29,14780.0,14780.0,,0.0,0.0,
2025-08-28,8647.0,8647.0,,0.0,0.0,
2025-08-27,8673.0,8673.0,,702.0,702.0,
2025-08-26,12959.0,12959.0,,0.0,0.0,
2025-08-25,8521.0,8521.0,,346.0,345.0,Cashbook has lesser value by 1.0
2025-08-24,6476.0,6476.0,,1126.0,1126.0,
2025-08-23,11907.0,11907.0,,341.0,341.0,
2025-08-22,2355.0,2355.0,,0.0,0.0,
2025-08-21,10045.0,10045.0,,0.0,0.0,
2025-08-20,8905.0,8905.0,,0.0,0.0,
2025-08-19,11511.0,11511.0,,0.0,0.0,
2025-08-18,11516.0,11516.0,,0.0,0.0,
2025-08-17,9602.0,9602.0,,0.0,0.0,
2025-08-16,14806.0,14806.0,,1764.0,1764.0,
2025-08-15,13774.0,13774.0,,1137.0,1137.0,
2025-08-14,7728.0,7728.0,,0.0,0.0,
2025-08-13,10711.0,10711.0,,314.0,314.0,
2025-08-12,8773.0,8773.0,,0.0,0.0,
2025-08-11,6489.0,6489.0,,0.0,0.0,
2025-08-10,14428.0,14428.0,,1463.0,1463.0,
2025-08-09,14321.0,14321.0,,806.0,806.0,
2025-08-08,11123.0,11123.0,,0.0,0.0,
2025-08-07,7957.0,7957.0,,0.0,0.0,
2025-08-06,6643.0,6643.0,,974.0,974.0,
2025-08-05,6318.0,6318.0,,0.0,0.0,
2025-08-04,9896.0,9896.0,,0.0,0.0,
2025-08-03,12560.0,12560.0,,812.0,812.0,
2025-08-02,15178.0,15178.0,,2487.0,2487.0,
2025-08-01,4590.0,4590.0,,1933.0,1933.0,
2025-07-31,6707.0,6707.0,,0.0,0.0,
2025-07-30,4537.0,4537.0,,1369.0,1369.0,
2025-07-29,8583.0,8583.0,,0.0,0.0,
2025-07-28,8926.0,8926.0,,0.0,0.0,
2025-07-27,13561.0,13561.0,,0.0,0.0,
2025-07-26,7987.0,7987.0,,1053.0,1053.0,
2025-07-25,7317.0,7317.0,,0.0,0.0,
2025-07-24,11309.0,11309.0,,0.0,0.0,
2025-07-23,9000.0,9000.0,,662.0,662.0,
2025-07-22,7141.0,7141.0,,0.0,0.0,
2025-07-21,3363.0,3363.0,,0.0,0.0,
2025-07-20,14694.0,14694.0,,2105.0,2105.0,
2025-07-19,12376.0,12376.0,,2077.0,2077.0,
2025-07-18,12554.0,12554.0,,0.0,0.0,
2025-07-17,6323.0,6323.0,,0.0,0.0,
2025-07-16,12172.0,12172.0,,0.0,0.0,
2025-07-15,8351.0,8351.0,,0.0,0.0,
2025-07-14,6706.0,6706.0,,373.0,373.0,
2025-07-13,5837.0,5837.0,,0.0,0.0,
2025-07-12,5752.0,5752.0,,3259.0,3259.0,
2025-07-11,17469.0,17469.0,,0.0,0.0,
2025-07-10,9164.0,9164.0,,636.0,636.0,
2025-07-09,0.0,0.0,,0.0,0.0,
2025-07-08,10692.0,10692.0,,1399.0,1399.0,
2025-07-07,6695.0,6695.0,,0.0,0.0,
2025-07-06,13535.0,13535.0,,1572.0,1572.0,
2025-07-05,17199.0,17199.0,,1244.0,1244.0,
2025-07-04,8049.0,8049.0,,819.0,819.0,
2025-07-03,10953.0,10953.0,,0.0,0.0,
2025-07-02,8801.0,8801.0,,1389.0,1389.0,
2025-07-01,7328.0,7328.0,,1708.0,1708.0,
2025-06-30,5300.0,5300.0,,0.0,0.0,
2025-06-29,11322.0,11322.0,,630.0,630.0,
2025-06-28,12205.0,12205.0,,0.0,0.0,
2025-06-27,4717.0,4717.0,,0.0,0.0,
2025-06-26,8136.0,8136.0,,354.0,354.0,
2025-06-25,5879.0,5879.0,,540.0,540.0,
2025-06-24,8907.0,8907.0,,0.0,0.0,
2025-06-23,3645.0,3645.0,,0.0,0.0,
2025-06-22,9112.0,9112.0,,497.0,497.0,
2025-06-21,12256.0,12256.0,,499.0,1388.0,Cashbook has greater value by 889.0
2025-06-20,7633.0,7633.0,,0.0,0.0,
2025-06-19,1996.0,1996.0,,0.0,0.0,
2025-06-18,6826.0,6826.0,,0.0,0.0,
2025-06-17,5956.0,5956.0,,0.0,0.0,
2025-06-16,9901.0,9901.0,,0.0,0.0,
2025-06-15,8877.0,8877.0,,513.0,513.0,
2025-06-14,8937.0,8937.0,,595.0,595.0,
2025-06-13,8139.0,8139.0,,334.0,334.0,
2025-06-12,12130.0,12130.0,,0.0,0.0,
2025-06-11,10191.0,10191.0,,0.0,0.0,
2025-06-10,12748.0,12748.0,,2216.0,2216.0,
2025-06-09,5490.0,5490.0,,0.0,0.0,
2025-06-08,9061.0,9061.0,,799.0,799.0,
2025-06-07,17303.0,17303.0,,3697.0,3697.0,
2025-06-06,8729.0,8729.0,,331.0,331.0,
2025-06-05,5559.0,5559.0,,0.0,0.0,
2025-06-04,6818.0,6818.0,,1887.0,1887.0,
2025-06-03,8247.0,8247.0,,1332.0,1332.0,
2025-06-02,5769.0,5769.0,,0.0,0.0,
2025-06-01,9011.0,9011.0,,0.0,0.0,
2025-05-31,11736.0,11736.0,,499.0,499.0,
2025-05-30,10546.0,10546.0,,0.0,1613.0,Cashbook has greater value by 1613.0
2025-05-29,13633.0,13633.0,,0.0,948.0,Cashbook has greater value by 948.0
2025-05-28,9486.0,9486.0,,0.0,0.0,
2025-05-27,5749.0,5749.0,,0.0,110.0,Cashbook has greater value by 110.0
2025-05-26,5255.0,5255.0,,0.0,0.0,
2025-05-25,6985.0,6985.0,,0.0,198.0,Cashbook has greater value by 198.0
2025-05-24,8968.0,8968.0,,0.0,0.0,
2025-05-23,3394.0,3394.0,,0.0,0.0,
2025-05-22,11300.0,11300.0,,0.0,0.0,
2025-05-21,11797.0,11797.0,,0.0,786.0,Cashbook has greater value by 786.0
2025-05-20,3658.0,3658.0,,0.0,3758.0,Cashbook has greater value by 3758.0
2025-05-19,5148.0,5148.0,,0.0,681.0,Cashbook has greater value by 681.0
2025-05-18,9101.0,9101.0,,0.0,1090.0,Cashbook has greater value by 1090.0
2025-05-17,7811.0,7811.0,,0.0,855.0,Cashbook has greater value by 855.0
2025-05-16,5606.0,5606.0,,0.0,334.0,Cashbook has greater value by 334.0
2025-05-15,9116.0,9116.0,,0.0,2413.0,Cashbook has greater value by 2413.0
2025-05-14,12390.0,12390.0,,0.0,0.0,
2025-05-13,11280.0,11280.0,,0.0,0.0,
2025-05-12,10146.0,10146.0,,0.0,0.0,
2025-05-11,9197.0,9197.0,,0.0,1204.0,Cashbook has greater value by 1204.0
2025-05-10,14490.0,14490.0,,0.0,1237.0,Cashbook has greater value by 1237.0
2025-05-09,9694.0,9694.0,,0.0,277.0,Cashbook has greater value by 277.0
2025-05-08,8407.0,8407.0,,0.0,0.0,
2025-05-07,10494.0,10494.0,,0.0,1422.0,Cashbook has greater value by 1422.0
2025-05-06,8917.0,8917.0,,0.0,1113.0,Cashbook has greater value by 1113.0
2025-05-05,14829.0,14829.0,,0.0,2590.0,Cashbook has greater value by 2590.0
2025-05-04,9461.0,9461.0,,0.0,3535.0,Cashbook has greater value by 3535.0
2025-05-03,19485.0,19485.0,,0.0,2415.0,Cashbook has greater value by 2415.0
2025-05-02,11943.0,11943.0,,0.0,0.0,
2025-05-01,10052.0,10052.0,,0.0,0.0,
2025-04-30,10197.0,10197.0,,0.0,0.0,
2025-04-29,9885.0,9885.0,,0.0,0.0,
2025-04-28,10458.0,10458.0,,0.0,0.0,
2025-04-27,15214.0,15214.0,,0.0,0.0,
2025-04-26,9636.0,9636.0,,3071.0,3071.0,
2025-04-25,7332.0,7332.0,,0.0,0.0,
2025-04-24,6757.0,6757.0,,725.0,725.0,
2025-04-23,5765.0,5765.0,,500.0,500.0,
2025-04-22,4916.0,4916.0,,0.0,0.0,
2025-04-21,5741.0,5741.0,,0.0,0.0,
2025-04-20,14728.0,14728.0,,0.0,0.0,
2025-04-19,8511.0,8511.0,,0.0,0.0,
2025-04-18,12736.0,12736.0,,0.0,0.0,
2025-04-17,13451.0,13451.0,,0.0,0.0,
2025-04-16,9690.0,9690.0,,1148.0,1148.0,
2025-04-15,13611.0,13611.0,,0.0,0.0,
2025-04-14,12524.0,12524.0,,3076.0,3076.0,
2025-04-13,14309.0,14309.0,,1028.0,1028.0,
2025-04-12,13381.0,13381.0,,1239.0,1239.0,
2025-04-11,12825.0,12825.0,,0.0,0.0,
2025-04-10,6786.0,6786.0,,0.0,0.0,
2025-04-09,5388.0,5388.0,,0.0,0.0,
2025-04-08,7360.0,7360.0,,973.0,973.0,
2025-04-07,8041.0,8041.0,,928.0,928.0,
2025-04-06,7319.0,7319.0,,151.0,151.0,
2025-04-05,10256.0,10256.0,,0.0,0.0,
2025-04-04,8045.0,8045.0,,0.0,0.0,
2025-04-03,9058.0,9058.0,,734.0,734.0,
2025-04-02,13501.0,13501.0,,2179.0,2179.0,
2025-04-01,14580.0,14580.0,,392.0,392.0,
2025-03-31,15838.0,15838.0,,324.0,324.0,
2025-03-30,16237.0,16237.0,,0.0,587.0,Cashbook has greater value by 587.0
2025-03-29,9532.0,9532.0,,0.0,0.0,
2025-03-28,6256.0,6256.0,,0.0,0.0,
2025-03-27,5014.0,5014.0,,0.0,0.0,
2025-03-26,3482.0,3482.0,,0.0,0.0,
2025-03-25,5539.0,5539.0,,0.0,1988.0,Cashbook has greater value by 1988.0
2025-03-24,7060.0,7060.0,,0.0,0.0,
2025-03-23,5587.0,5587.0,,0.0,0.0,
2025-03-22,7529.0,7529.0,,0.0,1638.0,Cashbook has greater value by 1638.0
2025-03-21,6221.0,6221.0,,0.0,0.0,
2025-03-20,10023.0,10023.0,,0.0,0.0,
2025-03-19,6820.0,6820.0,,0.0,0.0,
2025-03-18,5065.0,5065.0,,0.0,0.0,
2025-03-17,1263.0,1263.0,,0.0,0.0,
2025-03-16,7860.0,7860.0,,0.0,1241.0,Cashbook has greater value by 1241.0
2025-03-15,7596.0,7596.0,,0.0,0.0,
2025-03-14,5189.0,5189.0,,0.0,1268.0,Cashbook has greater value by 1268.0
2025-03-13,7049.0,7049.0,,0.0,498.0,Cashbook has greater value by 498.0
2025-03-12,1797.0,1797.0,,0.0,0.0,
2025-03-11,4406.0,4406.0,,0.0,0.0,
2025-03-10,6452.0,6452.0,,0.0,1452.0,Cashbook has greater value by 1452.0
2025-03-09,8156.0,8156.0,,0.0,1327.0,Cashbook has greater value by 1327.0
2025-03-08,7614.0,7614.0,,0.0,1025.0,Cashbook has greater value by 1025.0
2025-03-07,4587.0,4587.0,,0.0,355.0,Cashbook has greater value by 355.0
2025-03-06,3237.0,3237.0,,0.0,0.0,
2025-03-05,4012.0,4012.0,,0.0,0.0,
2025-03-04,4234.0,4234.0,,0.0,0.0,
2025-03-03,8075.0,8075.0,,0.0,1200.0,Cashbook has greater value by 1200.0
2025-03-02,8594.0,8594.0,,0.0,0.0,
2025-03-01,13746.0,13746.0,,0.0,446.0,Cashbook has greater value by 446.0
2025-02-28,4225.0,4225.0,,728.0,728.0,
2025-02-27,10019.0,10019.0,,293.0,293.0,
2025-02-26,3653.0,3653.0,,0.0,0.0,
2025-02-25,6899.0,6899.0,,0.0,0.0,
2025-02-24,4465.0,4465.0,,1342.0,1342.0,
2025-02-23,12158.0,12158.0,,963.0,963.0,
2025-02-22,13759.0,13759.0,,0.0,0.0,
2025-02-21,9238.0,9238.0,,0.0,0.0,
2025-02-20,2790.0,2790.0,,0.0,0.0,
2025-02-19,12464.0,12464.0,,0.0,0.0,
2025-02-18,5770.0,5770.0,,875.0,875.0,
2025-02-17,10386.0,10386.0,,0.0,0.0,
2025-02-16,7134.0,7134.0,,0.0,0.0,
2025-02-15,8763.0,8763.0,,95.0,95.0,
2025-02-14,3213.0,3213.0,,2372.0,2372.0,
2025-02-13,6110.0,6110.0,,345.0,345.0,
2025-02-12,4900.0,4900.0,,293.0,293.0,
2025-02-11,5877.0,5877.0,,634.0,634.0,
2025-02-10,4870.0,4870.0,,0.0,0.0,
2025-02-09,6377.0,6377.0,,1202.0,1202.0,
2025-02-08,12053.0,12053.0,,713.0,713.0,
2025-02-07,7609.0,7609.0,,0.0,0.0,
2025-02-06,10818.0,10818.0,,0.0,0.0,
2025-02-05,9270.0,9270.0,,587.0,587.0,
2025-02-04,7210.0,7210.0,,0.0,0.0,
2025-02-03,9959.0,9959.0,,865.0,865.0,
2025-02-02,6600.0,6600.0,,0.0,0.0,
2025-02-01,10446.0,10446.0,,1031.0,1031.0,
2025-01-31,5415.0,5415.0,,985.0,985.0,
2025-01-30,6985.0,6985.0,,854.0,854.0,
2025-01-29,2809.0,2809.0,,0.0,0.0,
2025-01-28,5177.0,5177.0,,1018.0,1018.0,
2025-01-27,7913.0,7913.0,,0.0,0.0,
2025-01-26,15757.0,15757.0,,965.0,965.0,
2025-01-25,9082.0,9082.0,,4281.0,4281.0,
2025-01-24,7368.0,7368.0,,597.0,597.0,
2025-01-23,8016.0,8016.0,,1715.0,1715.0,
2025-01-22,9555.0,9555.0,,1338.0,1338.0,
2025-01-21,9401.0,9401.0,,0.0,0.0,
2025-01-20,3457.0,3457.0,,855.0,855.0,
2025-01-19,7953.0,7953.0,,1349.0,1349.0,
2025-01-18,15153.0,15153.0,,604.0,604.0,
2025-01-17,13680.0,13680.0,,1582.0,1582.0,
2025-01-16,7717.0,7717.0,,0.0,0.0,
2025-01-15,2971.0,2971.0,,110.0,110.0,
2025-01-14,7680.0,7680.0,,0.0,0.0,
2025-01-13,4106.0,4106.0,,570.0,570.0,
2025-01-12,9192.0,9192.0,,0.0,0.0,
2025-01-11,12213.0,12213.0,,408.0,408.0,
2025-01-10,5224.0,5224.0,,0.0,0.0,
2025-01-09,6041.0,6041.0,,0.0,0.0,
2025-01-08,10472.0,10472.0,,193.0,193.0,
2025-01-07,4504.0,4504.0,,375.0,375.0,
2025-01-06,9160.0,9160.0,,390.0,390.0,
2025-01-05,14502.0,14502.0,,688.0,688.0,
2025-01-04,11026.0,11026.0,,955.0,955.0,
2025-01-03,10962.0,10962.0,,546.0,546.0,
2025-01-02,8311.0,8311.0,,0.0,0.0,
2025-01-01,14548.0,14548.0,,2513.0,2513.0,
2024-12-31,20617.0,20617.0,,1738.0,1738.0,
2024-12-30,3364.0,3364.0,,0.0,0.0,
2024-12-29,8038.0,8038.0,,3265.0,3265.0,
2024-12-28,13684.0,13684.0,,268.0,268.0,
2024-12-27,13635.0,13635.0,,0.0,0.0,
2024-12-26,7922.0,7922.0,,283.0,283.0,
2024-12-25,11293.0,11293.0,,293.0,293.0,
2024-12-24,13518.0,13518.0,,0.0,0.0,
2024-12-23,6563.0,6563.0,,1077.0,1077.0,
2024-12-22,11941.0,11941.0,,729.0,729.0,
2024-12-21,8392.0,8392.0,,1918.0,1918.0,
2024-12-20,5400.0,5400.0,,977.0,977.0,
2024-12-19,7426.0,7426.0,,904.0,904.0,
2024-12-18,5354.0,5354.0,,4303.0,4303.0,
2024-12-17,6247.0,6247.0,,2126.0,2126.0,
2024-12-16,6306.0,6306.0,,0.0,0.0,
2024-12-15,7313.0,7313.0,,4278.0,4278.0,
2024-12-14,14122.0,14122.0,,0.0,0.0,
2024-12-13,7995.1,7995.0,,0.0,0.0,
2024-12-12,6076.0,6076.0,,1637.0,1637.0,
2024-12-11,5544.0,5544.0,,753.0,753.0,
2024-12-10,10358.0,10358.0,,0.0,0.0,
2024-12-09,6272.0,6272.0,,503.0,503.0,
2024-12-08,14222.0,14222.0,,691.0,691.0,
2024-12-07,13164.0,13164.0,,3053.0,3053.0,
2024-12-06,10635.0,10635.0,,0.0,0.0,
2024-12-05,14311.0,14311.0,,2106.0,2106.0,
2024-12-04,11048.0,11048.0,,0.0,0.0,
2024-12-03,8757.0,8757.0,,0.0,0.0,
2024-12-02,10847.0,10847.0,,461.0,461.0,
2024-12-01,17372.0,17372.0,,0.0,0.0,
2024-11-30,14212.0,14212.0,,0.0,0.0,
2024-11-29,8262.0,8262.0,,247.0,247.0,
2024-11-28,2321.0,2321.0,,0.0,0.0,
2024-11-27,10498.0,10498.0,,220.0,220.0,
2024-11-26,9885.0,9885.0,,471.0,471.0,
2024-11-25,6101.0,6101.0,,824.0,824.0,
2024-11-24,9756.0,9756.0,,1273.0,1273.0,
2024-11-23,8958.0,8958.0,,567.0,567.0,
2024-11-22,8956.0,8956.0,,0.0,0.0,
2024-11-21,7784.0,7784.0,,478.0,478.0,
