Month_code,Category,consumed-stock_amount,Total Sales[POS Sales less GST + Swiggy to Loocos],consumed-stock_amount%
2026-03,PACKAGING MATERIALS,23358.8,19444.6,120.13
2026-03,CHEESE & DAIRY,21701.79,19444.6,111.61
2026-03,MASALA & SEASONINGS,17116.6,19444.6,88.03
2026-03,UNMAPPED,14417.17,19444.6,74.14
2026-03,SAUCES & SPREADS,9635.9,19444.6,49.56
2026-03,MEAT & POULTRY,9052.02,19444.6,46.55
2026-03,BAKERY & PREMIX,7461.8,19444.6,38.37
2026-03,FRUITS,4369.95,19444.6,22.47
2026-03,UTILITIES & EXPENSES,3560.0,19444.6,18.31
2026-03,VEGETABLES,3390.0,19444.6,17.43
2026-03,OILS,2619.0,19444.6,13.47
2026-03,STATIONERY & MISC,1025.0,19444.6,5.27
2026-03,BEVERAGES,1012.0,19444.6,5.2
2026-03,"FLOUR, GRAINS & DRY GOODS",875.0,19444.6,4.5
2026-03,KITCHEN EQUIPMENT & UTENSILS,675.0,19444.6,3.47
2026-03,FROZEN ITEMS,635.46,19444.6,3.27
2026-02,UNMAPPED,30935.66,375917.45,8.23
2026-02,CHEESE & DAIRY,28254.300000000003,375917.45,7.52
2026-02,MEAT & POULTRY,20199.38,375917.45,5.37
2026-02,BEVERAGES,17541.53,375917.45,4.67
2026-02,UTILITIES & EXPENSES,15005.0,375917.45,3.99
2026-02,SAUCES & SPREADS,12173.72,375917.45,3.24
2026-02,MASALA & SEASONINGS,10170.1,375917.45,2.71
2026-02,PACKAGING MATERIALS,9274.3,375917.45,2.47
2026-02,"FLOUR, GRAINS & DRY GOODS",7808.0,375917.45,2.08
2026-02,BAKERY & PREMIX,5128.400000000001,375917.45,1.36
2026-02,VEGETABLES,4882.0,375917.45,1.3
2026-02,OILS,3764.0,375917.45,1.0
2026-02,FROZEN ITEMS,3422.54,375917.45,0.91
2026-02,STATIONERY & MISC,2450.0,375917.45,0.65
2026-02,FRUITS,2267.3199999999997,375917.45,0.6
2026-02,KITCHEN EQUIPMENT & UTENSILS,0.0,375917.45,0.0
2026-01,CHEESE & DAIRY,50197.24,464506.6,10.81
2026-01,MEAT & POULTRY,30813.64,464506.6,6.63
2026-01,UNMAPPED,30035.32,464506.6,6.47
2026-01,UTILITIES & EXPENSES,15570.0,464506.6,3.35
2026-01,BEVERAGES,12361.42,464506.6,2.66
2026-01,PACKAGING MATERIALS,9541.45,464506.6,2.05
2026-01,"FLOUR, GRAINS & DRY GOODS",8568.0,464506.6,1.84
2026-01,SAUCES & SPREADS,7792.83,464506.6,1.68
2026-01,OILS,6797.5,464506.6,1.46
2026-01,BAKERY & PREMIX,5107.400000000001,464506.6,1.1
2026-01,MASALA & SEASONINGS,5111.950000000001,464506.6,1.1
2026-01,VEGETABLES,4969.0,464506.6,1.07
2026-01,FROZEN ITEMS,3561.13,464506.6,0.77
2026-01,FRUITS,1586.68,464506.6,0.34
2026-01,STATIONERY & MISC,1410.0,464506.6,0.3
2025-12,CHEESE & DAIRY,43296.12,494089.55,8.76
2025-12,UNMAPPED,36067.06,494089.55,7.3
2025-12,MEAT & POULTRY,23848.09,494089.55,4.83
2025-12,PACKAGING MATERIALS,15010.95,494089.55,3.04
2025-12,SAUCES & SPREADS,11448.25,494089.55,2.32
2025-12,BEVERAGES,11116.49,494089.55,2.25
2025-12,MASALA & SEASONINGS,8795.949999999999,494089.55,1.78
2025-12,"FLOUR, GRAINS & DRY GOODS",7212.9,494089.55,1.46
2025-12,UTILITIES & EXPENSES,7125.0,494089.55,1.44
2025-12,BAKERY & PREMIX,6848.4,494089.55,1.39
2025-12,VEGETABLES,5718.0,494089.55,1.16
2025-12,FROZEN ITEMS,4808.34,494089.55,0.97
2025-12,OILS,3361.9,494089.55,0.68
2025-12,FRUITS,3014.25,494089.55,0.61
2025-12,STATIONERY & MISC,2031.0,494089.55,0.41
2025-12,KITCHEN EQUIPMENT & UTENSILS,675.0,494089.55,0.14
2025-12,CLEANING SUPPLIES,287.5,494089.55,0.06
2025-11,UNMAPPED,47576.44,454730.6,10.46
2025-11,CHEESE & DAIRY,40894.78,454730.6,8.99
2025-11,MEAT & POULTRY,26040.17,454730.6,5.73
2025-11,UTILITIES & EXPENSES,19580.0,454730.6,4.31
2025-11,VEGETABLES,14033.0,454730.6,3.09
2025-11,PACKAGING MATERIALS,11583.0,454730.6,2.55
2025-11,BEVERAGES,9778.68,454730.6,2.15
2025-11,SAUCES & SPREADS,8607.2,454730.6,1.89
2025-11,BAKERY & PREMIX,6435.4,454730.6,1.42
2025-11,MASALA & SEASONINGS,6312.37,454730.6,1.39
2025-11,FRUITS,2061.25,454730.6,0.45
2025-11,STATIONERY & MISC,1830.0,454730.6,0.4
2025-11,FROZEN ITEMS,874.4799999999998,454730.6,0.19
2025-11,OILS,299.7,454730.6,0.07
2025-11,"FLOUR, GRAINS & DRY GOODS",245.5,454730.6,0.05
2025-11,KITCHEN EQUIPMENT & UTENSILS,0.0,454730.6,0.0
2025-11,CLEANING SUPPLIES,-287.5,454730.6,-0.06
2025-10,CHEESE & DAIRY,43172.77,455473.55,9.48
2025-10,UNMAPPED,38636.43,455473.55,8.48
2025-10,MEAT & POULTRY,23429.210000000003,455473.55,5.14
2025-10,UTILITIES & EXPENSES,15530.0,455473.55,3.41
2025-10,BEVERAGES,12141.19,455473.55,2.67
2025-10,SAUCES & SPREADS,9096.58,455473.55,2.0
2025-10,PACKAGING MATERIALS,8489.6,455473.55,1.86
2025-10,MASALA & SEASONINGS,7924.990000000001,455473.55,1.74
2025-10,VEGETABLES,5787.0,455473.55,1.27
2025-10,BAKERY & PREMIX,2903.6,455473.55,0.64
2025-10,STATIONERY & MISC,2615.0,455473.55,0.57
2025-10,FROZEN ITEMS,1666.97,455473.55,0.37
2025-10,FRUITS,1482.25,455473.55,0.33
2025-10,OILS,828.9,455473.55,0.18
2025-10,"FLOUR, GRAINS & DRY GOODS",461.5,455473.55,0.1
2025-09,CHEESE & DAIRY,40139.770000000004,480840.35,8.35
2025-09,UNMAPPED,34968.69,480840.35,7.27
2025-09,MEAT & POULTRY,22126.72,480840.35,4.6
2025-09,UTILITIES & EXPENSES,15490.0,480840.35,3.22
2025-09,BEVERAGES,12059.89,480840.35,2.51
2025-09,PACKAGING MATERIALS,11879.800000000001,480840.35,2.47
2025-09,VEGETABLES,11601.8,480840.35,2.41
2025-09,SAUCES & SPREADS,10660.5,480840.35,2.22
2025-09,FROZEN ITEMS,9596.01,480840.35,2.0
2025-09,BAKERY & PREMIX,8066.0,480840.35,1.68
2025-09,MASALA & SEASONINGS,6972.16,480840.35,1.45
2025-09,FRUITS,2150.4,480840.35,0.45
2025-09,STATIONERY & MISC,1859.0,480840.35,0.39
2025-09,OILS,505.5,480840.35,0.11
2025-09,"FLOUR, GRAINS & DRY GOODS",-435.0,480840.35,-0.09
2025-08,CHEESE & DAIRY,43636.94,507628.39999999997,8.6
2025-08,UNMAPPED,38765.27,507628.39999999997,7.64
2025-08,MEAT & POULTRY,29422.19,507628.39999999997,5.8
2025-08,BEVERAGES,14646.28,507628.39999999997,2.89
2025-08,UTILITIES & EXPENSES,13440.0,507628.39999999997,2.65
2025-08,VEGETABLES,11777.2,507628.39999999997,2.32
2025-08,PACKAGING MATERIALS,11239.85,507628.39999999997,2.21
2025-08,SAUCES & SPREADS,9614.42,507628.39999999997,1.89
2025-08,MASALA & SEASONINGS,8321.7,507628.39999999997,1.64
2025-08,FROZEN ITEMS,7768.18,507628.39999999997,1.53
2025-08,BAKERY & PREMIX,6059.0,507628.39999999997,1.19
2025-08,STATIONERY & MISC,1776.0,507628.39999999997,0.35
2025-08,CLEANING SUPPLIES,1150.0,507628.39999999997,0.23
2025-08,"FLOUR, GRAINS & DRY GOODS",1164.0,507628.39999999997,0.23
2025-08,FRUITS,529.48,507628.39999999997,0.1
2025-08,OILS,-402.0,507628.39999999997,-0.08
2025-07,UNMAPPED,42839.34,470467.1,9.11
2025-07,CHEESE & DAIRY,40556.01,470467.1,8.62
2025-07,MEAT & POULTRY,25255.870000000003,470467.1,5.37
2025-07,UTILITIES & EXPENSES,15510.0,470467.1,3.3
2025-07,VEGETABLES,13468.02,470467.1,2.86
2025-07,PACKAGING MATERIALS,11811.2,470467.1,2.51
2025-07,SAUCES & SPREADS,8634.94,470467.1,1.84
2025-07,BEVERAGES,8357.54,470467.1,1.78
2025-07,FROZEN ITEMS,7665.35,470467.1,1.63
2025-07,MASALA & SEASONINGS,7095.849999999999,470467.1,1.51
2025-07,BAKERY & PREMIX,5513.0,470467.1,1.17
2025-07,FRUITS,2291.76,470467.1,0.49
2025-07,STATIONERY & MISC,2300.3,470467.1,0.49
2025-07,CLEANING SUPPLIES,1150.0,470467.1,0.24
2025-07,OILS,740.1,470467.1,0.16
2025-07,"FLOUR, GRAINS & DRY GOODS",-128.0,470467.1,-0.03
2025-06,CHEESE & DAIRY,32843.57,403429.0,8.14
2025-06,UNMAPPED,31633.329999999998,403429.0,7.84
2025-06,MEAT & POULTRY,21415.04,403429.0,5.31
2025-06,BEVERAGES,13420.03,403429.0,3.33
2025-06,UTILITIES & EXPENSES,11535.0,403429.0,2.86
2025-06,VEGETABLES,10009.18,403429.0,2.48
2025-06,PACKAGING MATERIALS,9622.55,403429.0,2.39
2025-06,SAUCES & SPREADS,8424.88,403429.0,2.09
2025-06,MASALA & SEASONINGS,7202.55,403429.0,1.79
2025-06,FROZEN ITEMS,6726.91,403429.0,1.67
2025-06,BAKERY & PREMIX,2876.6,403429.0,0.71
2025-06,"FLOUR, GRAINS & DRY GOODS",1532.92,403429.0,0.38
2025-06,OILS,1470.9,403429.0,0.36
2025-06,STATIONERY & MISC,1292.8000000000002,403429.0,0.32
2025-06,FRUITS,726.01,403429.0,0.18
2025-06,KITCHEN EQUIPMENT & UTENSILS,675.0,403429.0,0.17
2025-06,CLEANING SUPPLIES,-2300.0,403429.0,-0.57
2025-05,CHEESE & DAIRY,40923.94,517650.44999999995,7.91
2025-05,UNMAPPED,34552.729999999996,517650.44999999995,6.67
2025-05,MEAT & POULTRY,30778.04,517650.44999999995,5.95
2025-05,UTILITIES & EXPENSES,17005.0,517650.44999999995,3.29
2025-05,VEGETABLES,14599.8,517650.44999999995,2.82
2025-05,BEVERAGES,13193.260000000002,517650.44999999995,2.55
2025-05,PACKAGING MATERIALS,13047.300000000001,517650.44999999995,2.52
2025-05,SAUCES & SPREADS,12743.72,517650.44999999995,2.46
2025-05,FROZEN ITEMS,8454.64,517650.44999999995,1.63
2025-05,BAKERY & PREMIX,8331.6,517650.44999999995,1.61
2025-05,MASALA & SEASONINGS,7046.6900000000005,517650.44999999995,1.36
2025-05,FRUITS,2326.83,517650.44999999995,0.45
2025-05,STATIONERY & MISC,1813.1499999999999,517650.44999999995,0.35
2025-05,OILS,1467.1,517650.44999999995,0.28
2025-05,"FLOUR, GRAINS & DRY GOODS",1255.04,517650.44999999995,0.24
2025-05,KITCHEN EQUIPMENT & UTENSILS,405.0,517650.44999999995,0.08
2025-04,CHEESE & DAIRY,49751.81,523213.8,9.51
2025-04,UNMAPPED,41056.76,523213.8,7.85
2025-04,MEAT & POULTRY,25748.88,523213.8,4.92
2025-04,PACKAGING MATERIALS,13333.95,523213.8,2.55
2025-04,UTILITIES & EXPENSES,12630.0,523213.8,2.41
2025-04,VEGETABLES,10904.0,523213.8,2.08
2025-04,BEVERAGES,10592.93,523213.8,2.02
2025-04,MASALA & SEASONINGS,8842.71,523213.8,1.69
2025-04,FROZEN ITEMS,7731.41,523213.8,1.48
2025-04,BAKERY & PREMIX,7367.799999999999,523213.8,1.41
2025-04,SAUCES & SPREADS,6752.86,523213.8,1.29
2025-04,"FLOUR, GRAINS & DRY GOODS",4516.54,523213.8,0.86
2025-04,CLEANING SUPPLIES,2615.0,523213.8,0.5
2025-04,FRUITS,2087.62,523213.8,0.4
2025-04,STATIONERY & MISC,1882.6999999999998,523213.8,0.36
2025-04,OILS,-300.5999999999999,523213.8,-0.06
2025-04,KITCHEN EQUIPMENT & UTENSILS,-769.5,523213.8,-0.15
2025-03,UNMAPPED,35749.03,358957.6,9.96
2025-03,CHEESE & DAIRY,34461.909999999996,358957.6,9.6
2025-03,BEVERAGES,32240.1,358957.6,8.98
2025-03,UTILITIES & EXPENSES,22094.0,358957.6,6.16
2025-03,MEAT & POULTRY,18916.17,358957.6,5.27
2025-03,VEGETABLES,14452.74,358957.6,4.03
2025-03,PACKAGING MATERIALS,8973.4,358957.6,2.5
2025-03,SAUCES & SPREADS,8206.16,358957.6,2.29
2025-03,FROZEN ITEMS,6649.93,358957.6,1.85
2025-03,MASALA & SEASONINGS,5073.54,358957.6,1.41
2025-03,BAKERY & PREMIX,4624.5,358957.6,1.29
2025-03,OILS,2604.0,358957.6,0.73
2025-03,FRUITS,2258.6499999999996,358957.6,0.63
2025-03,STATIONERY & MISC,1237.0500000000002,358957.6,0.34
2025-03,KITCHEN EQUIPMENT & UTENSILS,229.5,358957.6,0.06
2025-03,CLEANING SUPPLIES,-2300.0,358957.6,-0.64
2025-03,"FLOUR, GRAINS & DRY GOODS",-4155.5,358957.6,-1.16
2025-02,UNMAPPED,36127.51,383291.2,9.43
2025-02,CHEESE & DAIRY,35636.22,383291.2,9.3
2025-02,SAUCES & SPREADS,18897.420000000002,383291.2,4.93
2025-02,MEAT & POULTRY,16036.65,383291.2,4.18
2025-02,BEVERAGES,15714.810000000001,383291.2,4.1
2025-02,UTILITIES & EXPENSES,15655.0,383291.2,4.08
2025-02,VEGETABLES,11904.0,383291.2,3.11
2025-02,PACKAGING MATERIALS,10574.9,383291.2,2.76
2025-02,MASALA & SEASONINGS,7622.55,383291.2,1.99
2025-02,FROZEN ITEMS,6772.789999999999,383291.2,1.77
2025-02,BAKERY & PREMIX,4811.5,383291.2,1.26
2025-02,STATIONERY & MISC,3250.65,383291.2,0.85
2025-02,FRUITS,1632.3899999999999,383291.2,0.43
2025-02,OILS,1281.0,383291.2,0.33
2025-02,KITCHEN EQUIPMENT & UTENSILS,591.0,383291.2,0.15
2025-02,"FLOUR, GRAINS & DRY GOODS",224.0,383291.2,0.06
2025-01,UNMAPPED,47871.07,438268.3,10.92
2025-01,CHEESE & DAIRY,36213.99,438268.3,8.26
2025-01,MEAT & POULTRY,18549.030000000002,438268.3,4.23
2025-01,SAUCES & SPREADS,16998.92,438268.3,3.88
2025-01,UTILITIES & EXPENSES,16635.0,438268.3,3.8
2025-01,VEGETABLES,16468.25,438268.3,3.76
2025-01,BEVERAGES,11777.94,438268.3,2.69
2025-01,PACKAGING MATERIALS,9629.0,438268.3,2.2
2025-01,FROZEN ITEMS,7075.72,438268.3,1.61
2025-01,MASALA & SEASONINGS,6272.9,438268.3,1.43
2025-01,BAKERY & PREMIX,6163.0,438268.3,1.41
2025-01,STATIONERY & MISC,4634.1,438268.3,1.06
2025-01,FRUITS,2019.9299999999998,438268.3,0.46
2025-01,OILS,1475.1,438268.3,0.34
2025-01,"FLOUR, GRAINS & DRY GOODS",-145.0,438268.3,-0.03
2025-01,KITCHEN EQUIPMENT & UTENSILS,-675.0,438268.3,-0.15
2024-12,CHEESE & DAIRY,52707.22,537780.95,9.8
2024-12,UNMAPPED,45663.43,537780.95,8.49
2024-12,MEAT & POULTRY,20703.309999999998,537780.95,3.85
2024-12,BEVERAGES,20400.9,537780.95,3.79
2024-12,UTILITIES & EXPENSES,17630.0,537780.95,3.28
2024-12,PACKAGING MATERIALS,15223.2,537780.95,2.83
2024-12,VEGETABLES,10395.55,537780.95,1.93
2024-12,FROZEN ITEMS,8974.859999999999,537780.95,1.67
2024-12,SAUCES & SPREADS,7205.759999999999,537780.95,1.34
2024-12,BAKERY & PREMIX,6821.0,537780.95,1.27
2024-12,MASALA & SEASONINGS,6557.14,537780.95,1.22
2024-12,"FLOUR, GRAINS & DRY GOODS",3797.5,537780.95,0.71
2024-12,FRUITS,2356.42,537780.95,0.44
2024-12,STATIONERY & MISC,1823.2000000000003,537780.95,0.34
2024-12,KITCHEN EQUIPMENT & UTENSILS,1350.0,537780.95,0.25
2024-12,OILS,893.4,537780.95,0.17
2024-11,CHEESE & DAIRY,50671.72,483662.0,10.48
2024-11,UNMAPPED,38883.9,483662.0,8.04
2024-11,MEAT & POULTRY,23594.94,483662.0,4.88
2024-11,BEVERAGES,15697.66,483662.0,3.25
2024-11,PACKAGING MATERIALS,14738.5,483662.0,3.05
2024-11,UTILITIES & EXPENSES,14600.0,483662.0,3.02
2024-11,SAUCES & SPREADS,12539.75,483662.0,2.59
2024-11,FROZEN ITEMS,10274.36,483662.0,2.12
2024-11,VEGETABLES,8852.0,483662.0,1.83
2024-11,MASALA & SEASONINGS,7673.35,483662.0,1.59
2024-11,OILS,6255.6,483662.0,1.29
2024-11,BAKERY & PREMIX,5210.0,483662.0,1.08
2024-11,"FLOUR, GRAINS & DRY GOODS",3909.5,483662.0,0.81
2024-11,STATIONERY & MISC,2243.68,483662.0,0.46
2024-11,FRUITS,1717.63,483662.0,0.36
2024-11,CLEANING SUPPLIES,35.0,483662.0,0.01
2024-11,KITCHEN EQUIPMENT & UTENSILS,0.0,483662.0,0.0
2024-10,CHEESE & DAIRY,46309.6,482997.1,9.59
2024-10,UNMAPPED,43356.090000000004,482997.1,8.98
2024-10,MEAT & POULTRY,22703.440000000002,482997.1,4.7
2024-10,BEVERAGES,17062.27,482997.1,3.53
2024-10,UTILITIES & EXPENSES,16910.0,482997.1,3.5
2024-10,PACKAGING MATERIALS,12310.05,482997.1,2.55
2024-10,FROZEN ITEMS,8827.85,482997.1,1.83
2024-10,SAUCES & SPREADS,8667.42,482997.1,1.79
2024-10,BAKERY & PREMIX,7332.0,482997.1,1.52
2024-10,VEGETABLES,7232.0,482997.1,1.5
2024-10,MASALA & SEASONINGS,6406.07,482997.1,1.33
2024-10,"FLOUR, GRAINS & DRY GOODS",6168.9,482997.1,1.28
2024-10,STATIONERY & MISC,2206.69,482997.1,0.46
2024-10,FRUITS,1529.6799999999998,482997.1,0.32
2024-10,OILS,1513.9,482997.1,0.31
