YEAR_MONTH,Order_Date,Aggregator_Order_No,Order_From,Order_Type,My_Amount,Aggregator_Discount,Outlet_Discount,Delivery_Charges,Container_Charges,Additional_Charge,Total,Cancelled_By
2026-01,2026-01-10 15:50:40,227010038785948,Swiggy,Delivery,500.0,0.0,0.0,0.0,0.0,0.0,525.0,
2026-01,2026-01-11 21:41:21,227117480187218,Swiggy,Delivery,295.0,0.0,0.0,0.0,0.0,0.0,309.75,
2026-01,2026-01-11 18:29:33,227105944444011,Swiggy,Delivery,335.0,0.0,0.0,0.0,0.0,0.0,351.75,
2026-01,2026-01-11 18:18:36,227105288520934,Swiggy,Delivery,325.0,0.0,0.0,0.0,0.0,0.0,341.25,
2026-01,2026-01-11 18:16:30,227105160427338,Swiggy,Delivery,673.0,0.0,0.0,0.0,0.0,0.0,706.65,
2026-01,2026-01-11 14:51:33,227092892827348,Swiggy,Delivery,235.0,0.0,0.0,0.0,0.0,0.0,246.75,
2026-01,2026-01-11 13:19:51,227087374744561,Swiggy,Delivery,540.0,0.0,0.0,0.0,0.0,0.0,567.0,
2026-01,2026-01-12 20:20:41,227199027273365,Swiggy,Delivery,275.0,0.0,0.0,0.0,0.0,0.0,288.75,
2026-01,2026-01-12 19:34:10,227196249978616,Swiggy,Delivery,545.0,0.0,0.0,0.0,0.0,0.0,572.25,
2026-01,2026-01-12 16:52:17,227186536998010,Swiggy,Delivery,320.0,0.0,0.0,0.0,0.0,0.0,336.0,
2026-01,2026-01-12 15:49:02,227182726082390,Swiggy,Delivery,210.0,0.0,0.0,0.0,0.0,0.0,220.5,
2026-01,2026-01-12 15:41:28,227182274238609,Swiggy,Delivery,659.0,0.0,0.0,0.0,0.0,0.0,691.95,
2026-01,2026-01-12 15:35:18,227181882576459,Swiggy,Delivery,610.0,0.0,0.0,0.0,0.0,0.0,640.5,
2026-01,2026-01-12 13:57:05,227176010679960,Swiggy,Delivery,179.0,0.0,0.0,0.0,0.0,0.0,187.95,
2026-01,2026-01-13 20:49:40,227287159178523,Swiggy,Delivery,455.0,0.0,0.0,0.0,0.0,0.0,477.75,
2026-01,2026-01-13 16:17:00,227270803323858,Swiggy,Delivery,540.0,0.0,0.0,0.0,0.0,0.0,567.0,
2026-01,2026-01-13 11:37:28,227254030390967,Swiggy,Delivery,365.0,0.0,0.0,0.0,0.0,0.0,383.25,
2026-01,2026-01-14 17:07:17,227360217156572,Swiggy,Delivery,335.0,0.0,0.0,0.0,0.0,0.0,351.75,
2026-01,2026-01-14 12:15:34,227342699536622,Swiggy,Delivery,275.0,0.0,0.0,0.0,0.0,0.0,288.75,
2026-01,2026-01-15 19:59:05,227456904931286,Swiggy,Delivery,1064.0,0.0,0.0,0.0,0.0,0.0,1117.2,
2026-01,2026-01-15 18:54:56,227453073710629,Swiggy,Delivery,1150.0,0.0,0.0,0.0,0.0,0.0,1207.5,
2026-01,2026-01-15 12:43:22,227430800823878,Swiggy,Delivery,325.0,0.0,0.0,0.0,0.0,0.0,341.25,
